settlement,input_count,generated_count,diff,rel_diff,ratio
Dáka,6,8,2,0.3333333333333333,1.3333333333333333
Dánszentmiklós,128,161,33,0.2578125,1.2578125
Dány,267,334,67,0.250936329588015,1.250936329588015
Dávod,44,55,11,0.25,1.25
Dédestapolcsány,27,34,7,0.25925925925925924,1.2592592592592593
Dég,69,87,18,0.2608695652173913,1.2608695652173914
Délegyháza,433,539,106,0.24480369515011546,1.2448036951501156
Dénesfa,9,11,2,0.2222222222222222,1.2222222222222223
Dévaványa,352,439,87,0.2471590909090909,1.2471590909090908
Dóc,30,38,8,0.26666666666666666,1.2666666666666666
Döbrököz,108,136,28,0.25925925925925924,1.2592592592592593
Döbrönte,12,16,4,0.3333333333333333,1.3333333333333333
Döge,53,66,13,0.24528301886792453,1.2452830188679245
Dömsöd,438,544,106,0.2420091324200913,1.2420091324200913
Dömös,43,52,9,0.20930232558139536,1.2093023255813953
Dör,6,8,2,0.3333333333333333,1.3333333333333333
Dörgicse,17,21,4,0.23529411764705882,1.2352941176470589
Ebes,315,391,76,0.24126984126984127,1.2412698412698413
Ecseg,13,17,4,0.3076923076923077,1.3076923076923077
Ecsegfalva,45,57,12,0.26666666666666666,1.2666666666666666
Ecser,300,374,74,0.24666666666666667,1.2466666666666666
Ecséd,199,248,49,0.24623115577889448,1.2462311557788945
Edelény,405,506,101,0.24938271604938272,1.2493827160493827
Eger,5031,6261,1230,0.24448419797257007,1.24448419797257
Egeralja,10,12,2,0.2,1.2
Egeraracsa,5,6,1,0.2,1.2
Egerbakta,41,51,10,0.24390243902439024,1.2439024390243902
Egercsehi,163,202,39,0.2392638036809816,1.2392638036809815
Egerfarmos,18,23,5,0.2777777777777778,1.2777777777777777
Egerlövõ,8,10,2,0.25,1.25
Egerszalók,205,253,48,0.23414634146341465,1.2341463414634146
Egerszólát,41,52,11,0.2682926829268293,1.2682926829268293
Egervár,12,15,3,0.25,1.25
Egerág,35,44,9,0.2571428571428571,1.2571428571428571
Egyed,24,30,6,0.25,1.25
Egyek,231,288,57,0.24675324675324675,1.2467532467532467
Egyházasdengeleg,185,231,46,0.24864864864864866,1.2486486486486486
Egyházasfalu,9,11,2,0.2222222222222222,1.2222222222222223
Egyházashollós,7,9,2,0.2857142857142857,1.2857142857142858
Egyházaskeszõ,7,9,2,0.2857142857142857,1.2857142857142858
Egyházaskozár,26,32,6,0.23076923076923078,1.2307692307692308
Egyházasrádóc,15,19,4,0.26666666666666666,1.2666666666666666
Elek,286,359,73,0.25524475524475526,1.2552447552447552
Ellend,5,6,1,0.2,1.2
Elõszállás,78,97,19,0.24358974358974358,1.2435897435897436
Emõd,189,237,48,0.25396825396825395,1.253968253968254
Encs,330,410,80,0.24242424242424243,1.2424242424242424
Encsencs,55,69,14,0.2545454545454545,1.2545454545454546
Endrefalva,12,15,3,0.25,1.25
Endrõc,7,9,2,0.2857142857142857,1.2857142857142858
Enying,373,464,91,0.24396782841823056,1.2439678284182305
Eperjes,17,21,4,0.23529411764705882,1.2352941176470589
Eperjeske,17,22,5,0.29411764705882354,1.2941176470588236
Eplény,26,32,6,0.23076923076923078,1.2307692307692308
Epöl,6,8,2,0.3333333333333333,1.3333333333333333
Ercsi,476,594,118,0.24789915966386555,1.2478991596638656
Erdõbénye,98,123,25,0.25510204081632654,1.2551020408163265
Erdõkertes,726,904,178,0.24517906336088155,1.2451790633608815
Erdõkövesd,10,12,2,0.2,1.2
Erdõkürt,11,14,3,0.2727272727272727,1.2727272727272727
Erdõsmecske,8,10,2,0.25,1.25
Erdõtarcsa,8,10,2,0.25,1.25
Erdõtelek,87,108,21,0.2413793103448276,1.2413793103448276
Erk,6,8,2,0.3333333333333333,1.3333333333333333
Erzsébet,12,15,3,0.25,1.25
Esztergom,2404,2993,589,0.24500831946755408,1.245008319467554
Esztergályhorváti,10,12,2,0.2,1.2
Esztár,48,61,13,0.2708333333333333,1.2708333333333333
Ete,22,27,5,0.22727272727272727,1.2272727272727273
Etes,21,26,5,0.23809523809523808,1.2380952380952381
Etyek,419,524,105,0.25059665871121717,1.2505966587112172
Fadd,196,244,48,0.24489795918367346,1.2448979591836735
Fajsz,71,89,18,0.2535211267605634,1.2535211267605635
Fancsal,7,9,2,0.2857142857142857,1.2857142857142858
Farkasgyepû,6,8,2,0.3333333333333333,1.3333333333333333
Farmos,131,163,32,0.24427480916030533,1.2442748091603053
Farád,20,25,5,0.25,1.25
Fedémes,5,6,1,0.2,1.2
Fegyvernek,228,285,57,0.25,1.25
Fehérgyarmat,652,810,158,0.24233128834355827,1.2423312883435582
Fehértó,12,15,3,0.25,1.25
Fehérvárcsurgó,115,144,29,0.25217391304347825,1.2521739130434784
Feked,5,6,1,0.2,1.2
Feketeerdõ,8,10,2,0.25,1.25
Felcsút,119,149,30,0.25210084033613445,1.2521008403361344
Feldebrõ,65,81,16,0.24615384615384617,1.2461538461538462
Felgyõ,100,125,25,0.25,1.25
Felpéc,10,12,2,0.2,1.2
Felsõjánosfa,5,6,1,0.2,1.2
Felsõlajos,59,73,14,0.23728813559322035,1.2372881355932204
Felsõmarác,7,9,2,0.2857142857142857,1.2857142857142858
Felsõmocsolád,7,9,2,0.2857142857142857,1.2857142857142858
Felsõnyárád,12,16,4,0.3333333333333333,1.3333333333333333
Felsõnyék,40,50,10,0.25,1.25
Felsõnána,8,10,2,0.25,1.25
Felsõpakony,302,376,74,0.24503311258278146,1.2450331125827814
Felsõpetény,56,70,14,0.25,1.25
Felsõpáhok,6,8,2,0.3333333333333333,1.3333333333333333
Felsõrajk,7,9,2,0.2857142857142857,1.2857142857142858
Felsõszenterzsébet,6,8,2,0.3333333333333333,1.3333333333333333
Felsõszentiván,74,91,17,0.22972972972972974,1.2297297297297298
Felsõszentmárton,13,16,3,0.23076923076923078,1.2307692307692308
Felsõtárkány,270,334,64,0.23703703703703705,1.237037037037037
Felsõzsolca,400,499,99,0.2475,1.2475
Felsõörs,205,255,50,0.24390243902439024,1.2439024390243902
Ferencszállás,19,23,4,0.21052631578947367,1.2105263157894737
Fertõd,33,41,8,0.24242424242424243,1.2424242424242424
Fertõendréd,7,9,2,0.2857142857142857,1.2857142857142858
Fertõhomok,11,14,3,0.2727272727272727,1.2727272727272727
Fertõszentmiklós,28,35,7,0.25,1.25
Fertõszéplak,7,9,2,0.2857142857142857,1.2857142857142858
Foktõ,64,81,17,0.265625,1.265625
Fony,12,16,4,0.3333333333333333,1.3333333333333333
Fonyód,659,821,162,0.24582701062215478,1.2458270106221547
Fonó,17,21,4,0.23529411764705882,1.2352941176470589
Forráskút,256,320,64,0.25,1.25
Forró,52,64,12,0.23076923076923078,1.2307692307692308
Furta,48,60,12,0.25,1.25
Fábiánháza,38,48,10,0.2631578947368421,1.263157894736842
Fábiánsebestyén,90,112,22,0.24444444444444444,1.2444444444444445
Fácánkert,22,27,5,0.22727272727272727,1.2272727272727273
Fényeslitke,85,106,21,0.24705882352941178,1.2470588235294118
Fót,2221,2766,545,0.2453849617289509,1.245384961728951
Földes,215,267,52,0.24186046511627907,1.241860465116279
Földeák,142,177,35,0.24647887323943662,1.2464788732394365
Füle,29,36,7,0.2413793103448276,1.2413793103448276
Fülesd,12,15,3,0.25,1.25
Fülpösdaróc,5,6,1,0.2,1.2
Fülöp,50,62,12,0.24,1.24
Fülöpháza,67,83,16,0.23880597014925373,1.2388059701492538
Fülöpjakab,85,106,21,0.24705882352941178,1.2470588235294118
Fülöpszállás,89,112,23,0.25842696629213485,1.2584269662921348
Fürged,7,9,2,0.2857142857142857,1.2857142857142858
Füzesabony,427,533,106,0.24824355971896955,1.2482435597189696
Füzesgyarmat,224,280,56,0.25,1.25
Füzér,11,14,3,0.2727272727272727,1.2727272727272727
Füzérkomlós,7,9,2,0.2857142857142857,1.2857142857142858
Gacsály,11,14,3,0.2727272727272727,1.2727272727272727
Gadány,5,6,1,0.2,1.2
Gagyvendégi,7,9,2,0.2857142857142857,1.2857142857142858
Galambok,21,26,5,0.23809523809523808,1.2380952380952381
Galgaguta,14,18,4,0.2857142857142857,1.2857142857142858
Galgagyörk,30,38,8,0.26666666666666666,1.2666666666666666
Galgahévíz,211,263,52,0.24644549763033174,1.2464454976303319
Galgamácsa,74,91,17,0.22972972972972974,1.2297297297297298
Gamás,8,10,2,0.25,1.25
Ganna,5,6,1,0.2,1.2
Gara,73,91,18,0.2465753424657534,1.2465753424657535
Garé,5,6,1,0.2,1.2
Gelej,65,82,17,0.26153846153846155,1.2615384615384615
Gellénháza,11,14,3,0.2727272727272727,1.2727272727272727
Gelse,14,17,3,0.21428571428571427,1.2142857142857142
Gelénes,18,23,5,0.2777777777777778,1.2777777777777777
Gemzse,24,30,6,0.25,1.25
Gencsapáti,21,26,5,0.23809523809523808,1.2380952380952381
Gerde,16,20,4,0.25,1.25
Gerendás,80,100,20,0.25,1.25
Geresdlak,113,142,29,0.25663716814159293,1.2566371681415929
Gerjen,20,25,5,0.25,1.25
Gersekarát,9,11,2,0.2222222222222222,1.2222222222222223
Geszt,116,144,28,0.2413793103448276,1.2413793103448276
Gesztely,507,628,121,0.23865877712031558,1.2386587771203157
Geszteréd,61,76,15,0.2459016393442623,1.2459016393442623
Gic,30,38,8,0.26666666666666666,1.2666666666666666
Girincs,11,14,3,0.2727272727272727,1.2727272727272727
Golop,6,8,2,0.3333333333333333,1.3333333333333333
Gomba,189,236,47,0.24867724867724866,1.2486772486772486
Gulács,43,53,10,0.23255813953488372,1.2325581395348837
Gutorfölde,14,17,3,0.21428571428571427,1.2142857142857142
Gyarmat,17,21,4,0.23529411764705882,1.2352941176470589
Gyenesdiás,15,19,4,0.26666666666666666,1.2666666666666666
Gyermely,91,114,23,0.25274725274725274,1.2527472527472527
Gyomaendrõd,991,1230,239,0.24117053481331988,1.24117053481332
Gyugy,10,12,2,0.2,1.2
Gyula,2664,3313,649,0.2436186186186186,1.2436186186186187
Gyulaháza,90,114,24,0.26666666666666666,1.2666666666666666
Gyulaj,9,11,2,0.2222222222222222,1.2222222222222223
Gyulakeszi,21,27,6,0.2857142857142857,1.2857142857142858
Gyál,2074,2579,505,0.24349083895853424,1.2434908389585342
Gyékényes,27,34,7,0.25925925925925924,1.2592592592592593
Gyód,18,22,4,0.2222222222222222,1.2222222222222223
Gyõr,276,342,66,0.2391304347826087,1.2391304347826086
Gyõrladamér,7,9,2,0.2857142857142857,1.2857142857142858
Gyõrszemere,19,24,5,0.2631578947368421,1.263157894736842
Gyõrság,16,20,4,0.25,1.25
Gyõrsövényház,12,15,3,0.25,1.25
Gyõrtelek,18,23,5,0.2777777777777778,1.2777777777777777
Gyõrvár,6,8,2,0.3333333333333333,1.3333333333333333
Gyõrzámoly,17,21,4,0.23529411764705882,1.2352941176470589
Gyõrújbarát,29,36,7,0.2413793103448276,1.2413793103448276
Gyõrújfalu,8,10,2,0.25,1.25
Gyömrõ,1624,2021,397,0.24445812807881773,1.2444581280788178
Gyömöre,17,21,4,0.23529411764705882,1.2352941176470589
Gyöngyös,2386,2966,580,0.24308466051969824,1.2430846605196983
Gyöngyösfalu,12,15,3,0.25,1.25
Gyöngyöshalász,118,148,30,0.2542372881355932,1.2542372881355932
Gyöngyösoroszi,12,16,4,0.3333333333333333,1.3333333333333333
Gyöngyöspata,137,171,34,0.24817518248175183,1.2481751824817517
Gyöngyössolymos,195,244,49,0.2512820512820513,1.2512820512820513
Gyöngyöstarján,152,190,38,0.25,1.25
Gyönk,52,64,12,0.23076923076923078,1.2307692307692308
Györe,58,73,15,0.25862068965517243,1.2586206896551724
Györgytarló,63,79,16,0.25396825396825395,1.253968253968254
Györköny,36,44,8,0.2222222222222222,1.2222222222222223
Gyúró,57,71,14,0.24561403508771928,1.2456140350877194
Gyügye,5,6,1,0.2,1.2
Gyüre,30,39,9,0.3,1.3
Gáborján,18,22,4,0.2222222222222222,1.2222222222222223
Gádoros,183,229,46,0.25136612021857924,1.2513661202185793
Gánt,22,28,6,0.2727272727272727,1.2727272727272727
Gárdony,1099,1366,267,0.2429481346678799,1.24294813466788
Gátér,26,33,7,0.2692307692307692,1.2692307692307692
Gávavencsellõ,132,165,33,0.25,1.25
Géderlak,17,22,5,0.29411764705882354,1.2941176470588236
Gégény,59,73,14,0.23728813559322035,1.2372881355932204
Gérce,6,8,2,0.3333333333333333,1.3333333333333333
Gógánfa,11,14,3,0.2727272727272727,1.2727272727272727
Gõsfa,7,9,2,0.2857142857142857,1.2857142857142858
Göd,2052,2550,498,0.24269005847953215,1.2426900584795322
Gödre,18,23,5,0.2777777777777778,1.2777777777777777
Gödöllõ,3584,4459,875,0.244140625,1.244140625
Gölle,30,37,7,0.23333333333333334,1.2333333333333334
Gönc,45,56,11,0.24444444444444444,1.2444444444444445
Göncruszka,12,15,3,0.25,1.25
Gönyû,5,6,1,0.2,1.2
Görbeháza,116,146,30,0.25862068965517243,1.2586206896551724
Görcsöny,68,85,17,0.25,1.25
Görcsönydoboka,6,8,2,0.3333333333333333,1.3333333333333333
Görgeteg,14,18,4,0.2857142857142857,1.2857142857142858
Hagyárosbörönd,5,6,1,0.2,1.2
Hajdúbagos,59,73,14,0.23728813559322035,1.2372881355932204
Hajdúböszörmény,2511,3125,614,0.24452409398645958,1.2445240939864595
Hajdúdorog,644,800,156,0.2422360248447205,1.2422360248447204
Hajdúhadház,508,633,125,0.24606299212598426,1.2460629921259843
Hajdúnánás,1234,1535,301,0.2439222042139384,1.2439222042139384
Hajdúszoboszló,2287,2849,562,0.24573677306515085,1.245736773065151
Hajdúszovát,122,151,29,0.23770491803278687,1.2377049180327868
Hajdúsámson,919,1143,224,0.24374319912948858,1.2437431991294885
Hajmáskér,109,135,26,0.23853211009174313,1.238532110091743
Hajós,200,248,48,0.24,1.24
Halimba,35,44,9,0.2571428571428571,1.2571428571428571
Halmaj,29,36,7,0.2413793103448276,1.2413793103448276
Halogy,5,6,1,0.2,1.2
Halászi,5,6,1,0.2,1.2
Halásztelek,1088,1356,268,0.24632352941176472,1.2463235294117647
Hangony,44,55,11,0.25,1.25
Hangács,13,17,4,0.3076923076923077,1.3076923076923077
Hantos,21,26,5,0.23809523809523808,1.2380952380952381
Harc,28,35,7,0.25,1.25
Harka,14,17,3,0.21428571428571427,1.2142857142857142
Harkakötöny,60,74,14,0.23333333333333334,1.2333333333333334
Harkány,375,469,94,0.25066666666666665,1.2506666666666666
Harsány,113,141,28,0.24778761061946902,1.247787610619469
Harta,186,231,45,0.24193548387096775,1.2419354838709677
Hatvan,1421,1769,348,0.24489795918367346,1.2448979591836735
Hedrehely,5,6,1,0.2,1.2
Hegyesd,5,6,1,0.2,1.2
Hegyhátszentpéter,7,9,2,0.2857142857142857,1.2857142857142858
Hegykõ,8,10,2,0.25,1.25
Hegymagas,15,18,3,0.2,1.2
Hegyszentmárton,14,18,4,0.2857142857142857,1.2857142857142858
Hejce,5,6,1,0.2,1.2
Hejõbába,28,34,6,0.21428571428571427,1.2142857142857142
Hejõkeresztúr,12,15,3,0.25,1.25
Hejõpapi,7,9,2,0.2857142857142857,1.2857142857142858
Helvécia,327,409,82,0.25076452599388377,1.2507645259938838
Hencida,28,34,6,0.21428571428571427,1.2142857142857142
Hencse,7,9,2,0.2857142857142857,1.2857142857142858
Herceghalom,221,276,55,0.248868778280543,1.248868778280543
Hercegkút,29,36,7,0.2413793103448276,1.2413793103448276
Hercegszántó,56,69,13,0.23214285714285715,1.2321428571428572
Herencsény,7,9,2,0.2857142857142857,1.2857142857142858
Herend,215,267,52,0.24186046511627907,1.241860465116279
Hermánszeg,6,8,2,0.3333333333333333,1.3333333333333333
Hernád,227,281,54,0.23788546255506607,1.2378854625550662
Hernádkak,84,104,20,0.23809523809523808,1.2380952380952381
Hernádkércs,14,18,4,0.2857142857142857,1.2857142857142858
Hernádnémeti,132,164,32,0.24242424242424243,1.2424242424242424
Hernádvécse,5,6,1,0.2,1.2
Heréd,81,102,21,0.25925925925925924,1.2592592592592593
Hetefejércse,11,14,3,0.2727272727272727,1.2727272727272727
Hetes,28,34,6,0.21428571428571427,1.2142857142857142
Hetvehely,619,769,150,0.24232633279483037,1.2423263327948304
Heves,600,747,147,0.245,1.245
Hevesaranyos,6,8,2,0.3333333333333333,1.3333333333333333
Hevesvezekény,27,34,7,0.25925925925925924,1.2592592592592593
Hidas,74,91,17,0.22972972972972974,1.2297297297297298
Hidasnémeti,23,29,6,0.2608695652173913,1.2608695652173914
Hidegkút,25,31,6,0.24,1.24
Himesháza,64,81,17,0.265625,1.265625
Hobol,38,47,9,0.23684210526315788,1.236842105263158
Hodász,86,106,20,0.23255813953488372,1.2325581395348837
Hollóháza,5,6,1,0.2,1.2
Hollókõ,10,12,2,0.2,1.2
Homokbödöge,21,26,5,0.23809523809523808,1.2380952380952381
Homokkomárom,5,6,1,0.2,1.2
Homokmégy,129,160,31,0.24031007751937986,1.2403100775193798
Homokszentgyörgy,38,49,11,0.2894736842105263,1.2894736842105263
Homorúd,20,25,5,0.25,1.25
Homrogd,46,58,12,0.2608695652173913,1.2608695652173914
Hont,8,10,2,0.25,1.25
Hort,229,287,58,0.25327510917030566,1.2532751091703056
Hortobágy,71,88,17,0.23943661971830985,1.2394366197183098
Horvátlövõ,5,6,1,0.2,1.2
Horvátzsidány,7,9,2,0.2857142857142857,1.2857142857142858
Hosszúhetény,266,332,66,0.24812030075187969,1.2481203007518797
Hosszúpereszteg,10,12,2,0.2,1.2
Hosszúpályi,251,312,61,0.24302788844621515,1.2430278884462151
Hugyag,7,9,2,0.2857142857142857,1.2857142857142858
Hunya,31,39,8,0.25806451612903225,1.2580645161290323
Hács,16,20,4,0.25,1.25
Háromfa,7,9,2,0.2857142857142857,1.2857142857142858
Hárskút,28,35,7,0.25,1.25
Hásságy,6,8,2,0.3333333333333333,1.3333333333333333
Héhalom,200,249,49,0.245,1.245
Héreg,40,50,10,0.25,1.25
Hévíz,17,21,4,0.23529411764705882,1.2352941176470589
Hévízgyörk,182,228,46,0.25274725274725274,1.2527472527472527
Hódmezõvásárhely,3539,4401,862,0.24357163040406896,1.243571630404069
Hõgyész,128,160,32,0.25,1.25
Ibafa,6,8,2,0.3333333333333333,1.3333333333333333
Ibrány,346,429,83,0.2398843930635838,1.239884393063584
Igal,62,77,15,0.24193548387096775,1.2419354838709677
Igar,27,33,6,0.2222222222222222,1.2222222222222223
Igrici,29,36,7,0.2413793103448276,1.2413793103448276
Iharos,10,12,2,0.2,1.2
Iharosberény,18,22,4,0.2222222222222222,1.2222222222222223
Ikervár,7,9,2,0.2857142857142857,1.2857142857142858
Iklad,79,98,19,0.24050632911392406,1.240506329113924
Ikrény,9,11,2,0.2222222222222222,1.2222222222222223
Ilk,22,28,6,0.2727272727272727,1.2727272727272727
Imrehegy,94,117,23,0.24468085106382978,1.2446808510638299
Inke,33,42,9,0.2727272727272727,1.2727272727272727
Ináncs,19,23,4,0.21052631578947367,1.2105263157894737
Inárcs,328,411,83,0.2530487804878049,1.2530487804878048
Ipolydamásd,5,6,1,0.2,1.2
Ipolyvece,23,30,7,0.30434782608695654,1.3043478260869565
Iregszemcse,149,186,37,0.2483221476510067,1.2483221476510067
Isaszeg,829,1032,203,0.2448733413751508,1.2448733413751507
Istenmezeje,21,26,5,0.23809523809523808,1.2380952380952381
Istvándi,6,8,2,0.3333333333333333,1.3333333333333333
Iszkaszentgyörgy,123,155,32,0.2601626016260163,1.2601626016260163
Isztimér,24,31,7,0.2916666666666667,1.2916666666666667
Iván,15,19,4,0.26666666666666666,1.2666666666666666
Ivánc,9,11,2,0.2222222222222222,1.2222222222222223
Iváncsa,269,335,66,0.24535315985130113,1.245353159851301
Izmény,13,16,3,0.23076923076923078,1.2307692307692308
Izsák,422,526,104,0.24644549763033174,1.2464454976303319
Izsófalva,28,35,7,0.25,1.25
Jakabszállás,1082,1345,263,0.24306839186691312,1.2430683918669132
Jenõ,41,52,11,0.2682926829268293,1.2682926829268293
Jobaháza,5,6,1,0.2,1.2
Jobbágyi,61,77,16,0.26229508196721313,1.2622950819672132
Juta,128,160,32,0.25,1.25
Ják,27,33,6,0.2222222222222222,1.2222222222222223
Jákfa,11,14,3,0.2727272727272727,1.2727272727272727
Jákfalva,5,6,1,0.2,1.2
Jákó,17,21,4,0.23529411764705882,1.2352941176470589
Jánd,28,35,7,0.25,1.25
Jánkmajtis,84,105,21,0.25,1.25
Jánoshalma,488,606,118,0.24180327868852458,1.2418032786885247
Jánoshida,75,93,18,0.24,1.24
Jánosháza,18,22,4,0.2222222222222222,1.2222222222222223
Jánossomorja,69,86,17,0.2463768115942029,1.2463768115942029
Járdánháza,58,74,16,0.27586206896551724,1.2758620689655173
Jármi,86,108,22,0.2558139534883721,1.255813953488372
Jásd,22,27,5,0.22727272727272727,1.2272727272727273
Jászalsószentgyörgy,155,193,38,0.24516129032258063,1.2451612903225806
Jászapáti,371,464,93,0.25067385444743934,1.2506738544474394
Jászberény,2352,2929,577,0.2453231292517007,1.2453231292517006
Jászboldogháza,86,108,22,0.2558139534883721,1.255813953488372
Jászdózsa,63,79,16,0.25396825396825395,1.253968253968254
Jászfelsõszentgyörgy,81,101,20,0.24691358024691357,1.2469135802469136
Jászfényszaru,390,488,98,0.2512820512820513,1.2512820512820513
Jászivány,8,10,2,0.25,1.25
Jászjákóhalma,133,164,31,0.23308270676691728,1.2330827067669172
Jászkarajenõ,86,108,22,0.2558139534883721,1.255813953488372
Jászkisér,149,189,40,0.2684563758389262,1.2684563758389262
Jászladány,167,208,41,0.24550898203592814,1.2455089820359282
Jászszentandrás,117,147,30,0.2564102564102564,1.2564102564102564
Jászszentlászló,207,257,50,0.24154589371980675,1.2415458937198067
Jásztelek,46,57,11,0.2391304347826087,1.2391304347826086
Jászágó,22,28,6,0.2727272727272727,1.2727272727272727
Jászárokszállás,617,767,150,0.24311183144246354,1.2431118314424636
Jéke,28,35,7,0.25,1.25
Kaba,297,371,74,0.24915824915824916,1.2491582491582491
Kacorlak,6,8,2,0.3333333333333333,1.3333333333333333
Kacsóta,23,29,6,0.2608695652173913,1.2608695652173914
Kadarkút,74,93,19,0.25675675675675674,1.2567567567567568
Kajdacs,50,62,12,0.24,1.24
Kajárpéc,23,29,6,0.2608695652173913,1.2608695652173914
Kajászó,32,40,8,0.25,1.25
Kakasd,137,170,33,0.24087591240875914,1.2408759124087592
Kakucs,160,200,40,0.25,1.25
Kalaznó,7,9,2,0.2857142857142857,1.2857142857142858
Kallósd,6,8,2,0.3333333333333333,1.3333333333333333
Kalocsa,1252,1558,306,0.24440894568690097,1.244408945686901
Kamond,7,9,2,0.2857142857142857,1.2857142857142858
Kamut,75,93,18,0.24,1.24
Kapolcs,10,12,2,0.2,1.2
Kapoly,5,6,1,0.2,1.2
Kaposfõ,81,101,20,0.24691358024691357,1.2469135802469136
Kaposhomok,5,6,1,0.2,1.2
Kaposmérõ,176,220,44,0.25,1.25
Kapospula,39,49,10,0.2564102564102564,1.2564102564102564
Kaposszekcsõ,174,217,43,0.2471264367816092,1.2471264367816093
Kaposszerdahely,103,129,26,0.2524271844660194,1.2524271844660195
Kaposvár,5627,6995,1368,0.24311355962324507,1.243113559623245
Kaposújlak,20,25,5,0.25,1.25
Kapuvár,65,81,16,0.24615384615384617,1.2461538461538462
Karancsalja,52,66,14,0.2692307692307692,1.2692307692307692
Karancsberény,14,18,4,0.2857142857142857,1.2857142857142858
Karancskeszi,53,66,13,0.24528301886792453,1.2452830188679245
Karancslapujtõ,93,115,22,0.23655913978494625,1.2365591397849462
Karancsság,19,24,5,0.2631578947368421,1.263157894736842
Karcag,1297,1612,315,0.24286815728604472,1.2428681572860447
Karcsa,40,50,10,0.25,1.25
Kardos,16,20,4,0.25,1.25
Kardoskút,30,37,7,0.23333333333333334,1.2333333333333334
Karmacs,5,6,1,0.2,1.2
Kartal,385,481,96,0.24935064935064935,1.2493506493506494
Karácsond,112,140,28,0.25,1.25
Karád,75,93,18,0.24,1.24
Kaskantyú,115,143,28,0.24347826086956523,1.2434782608695651
Kastélyosdombó,5,6,1,0.2,1.2
Kaszaper,67,83,16,0.23880597014925373,1.2388059701492538
Kaszó,6,8,2,0.3333333333333333,1.3333333333333333
Katafa,5,6,1,0.2,1.2
Katymár,36,44,8,0.2222222222222222,1.2222222222222223
Kazincbarcika,1197,1491,294,0.24561403508771928,1.2456140350877194
Kazár,31,38,7,0.22580645161290322,1.2258064516129032
Kecel,943,1175,232,0.24602332979851538,1.2460233297985153
Kecskemét,11226,13965,2739,0.24398717263495456,1.2439871726349545
Kecskéd,148,182,34,0.22972972972972974,1.2297297297297298
Kehidakustány,16,20,4,0.25,1.25
Kelebia,94,117,23,0.24468085106382978,1.2446808510638299
Kelevíz,10,12,2,0.2,1.2
Kemecse,189,235,46,0.24338624338624337,1.2433862433862435
Kemence,42,53,11,0.2619047619047619,1.2619047619047619
Kemeneshõgyész,20,25,5,0.25,1.25
Kemenesmagasi,17,21,4,0.23529411764705882,1.2352941176470589
Kemenesmihályfa,5,6,1,0.2,1.2
Kemenesszentmárton,5,6,1,0.2,1.2
Kemenesszentpéter,12,15,3,0.25,1.25
Kemenessömjén,7,9,2,0.2857142857142857,1.2857142857142858
Kenderes,166,207,41,0.2469879518072289,1.2469879518072289
Kengyel,134,168,34,0.2537313432835821,1.2537313432835822
Kenyeri,25,31,6,0.24,1.24
Kenézlõ,58,73,15,0.25862068965517243,1.2586206896551724
Kerecsend,84,104,20,0.23809523809523808,1.2380952380952381
Kerekegyháza,512,637,125,0.244140625,1.244140625
Kerekharaszt,28,35,7,0.25,1.25
Kereki,70,87,17,0.24285714285714285,1.2428571428571429
Kerepes,907,1130,223,0.24586549062844543,1.2458654906284454
Kerkakutas,5,6,1,0.2,1.2
Kerta,105,132,27,0.2571428571428571,1.2571428571428571
Kertészsziget,6,8,2,0.3333333333333333,1.3333333333333333
Kerékteleki,5,6,1,0.2,1.2
Keszeg,13,16,3,0.23076923076923078,1.2307692307692308
Kesznyéten,162,202,40,0.24691358024691357,1.2469135802469136
Keszthely,77,95,18,0.23376623376623376,1.2337662337662338
Kesztölc,145,181,36,0.2482758620689655,1.2482758620689656
Keszü,171,213,42,0.24561403508771928,1.2456140350877194
Kevermes,72,90,18,0.25,1.25
Kimle,8,10,2,0.25,1.25
Kincsesbánya,319,397,78,0.2445141065830721,1.244514106583072
Királyegyháza,29,36,7,0.2413793103448276,1.2413793103448276
Királyhegyes,35,43,8,0.22857142857142856,1.2285714285714286
Királyszentistván,12,15,3,0.25,1.25
Kisapostag,60,74,14,0.23333333333333334,1.2333333333333334
Kisapáti,6,8,2,0.3333333333333333,1.3333333333333333
Kisar,44,56,12,0.2727272727272727,1.2727272727272727
Kisasszonyfa,6,8,2,0.3333333333333333,1.3333333333333333
Kisbajom,6,8,2,0.3333333333333333,1.3333333333333333
Kisberény,11,14,3,0.2727272727272727,1.2727272727272727
Kisbucsa,10,12,2,0.2,1.2
Kisbárkány,10,12,2,0.2,1.2
Kisbér,501,623,122,0.2435129740518962,1.2435129740518962
Kiscsehi,5,6,1,0.2,1.2
Kisdobsza,5,6,1,0.2,1.2
Kisdombegyház,9,11,2,0.2222222222222222,1.2222222222222223
Kisdorog,10,12,2,0.2,1.2
Kisecset,6,8,2,0.3333333333333333,1.3333333333333333
Kisfalud,14,17,3,0.21428571428571427,1.2142857142857142
Kisfüzes,11,14,3,0.2727272727272727,1.2727272727272727
Kisgyõr,62,78,16,0.25806451612903225,1.2580645161290323
Kisharsány,28,34,6,0.21428571428571427,1.2142857142857142
Kishartyán,11,14,3,0.2727272727272727,1.2727272727272727
Kisigmánd,15,19,4,0.26666666666666666,1.2666666666666666
Kiskorpád,45,57,12,0.26666666666666666,1.2666666666666666
Kiskunfélegyháza,2721,3386,665,0.24439544285189269,1.2443954428518926
